28 24
#############
#.....w.....#
#...s...s...#
#...........#
#...........#
#...........#    ###########
#...........######.........#
#k...............d.....###.#
#...........######.....#l..#
#...........#    #.....#####
#...........#    #.........#
#f..........#    #.........#
######s######    ####rbr####
     #.#           ##rbr##
     #.#           ##rbr##
     #.#          ###rbr###
  ####.####      #....o....#
  #.......#      #.........#
  #.......#      #.........#
  #.......#      #.........#
  #.......#      #.........#
  #.......#      #.........#
  #...@...#      #.........#
  #########       #########
